Patient,top5_1,position1,top5_2,position2,top5_3,position3
1,evet,1,evet,1,evet,1
2,hayir,,evet,2,evet,1
3,hayir,,evet,1,evet,1
4,evet,1,evet,1,evet,2
5,evet,5,hayir,5,evet,3
6,evet,5,evet,1,evet,1
7,evet,1,evet,1,evet,1
8,evet,1,evet,1,evet,1
9,evet,2,evet,2,evet,1
10,hayir,,hayir,,hayir,
11,evet,1,evet,1,evet,1
12,hayir,,evet,3,evet,1
13,hayir,,hayir,,evet,4
14,evet,2,evet,2,evet,1
15,hayir,,hayir,,evet,1
16,hayir,,hayir,,hayir,
17,hayir,,hayir,,hayir,
18,evet,1,evet,1,evet,1
19,evet,4,evet,1,evet,1
20,hayir,,hayir,,evet,1
21,evet,1,evet,1,evet,1
22,hayir,,hayir,,evet,4
23,evet,5,evet,3,evet,3
24,hayir,,hayir,,evet,5
25,evet,1,evet,1,evet,1
26,hayir,,hayir,,hayir,
27,evet,1,evet,1,evet,1
28,evet,3,evet,1,evet,1
29,evet,1,evet,1,evet,1
30,evet,1,evet,1,evet,1
31,evet,1,evet,1,evet,1
32,hayir,,hayir,,evet,4
33,evet,1,evet,1,evet,1
34,hayir,,evet,1,evet,1
35,evet,5,evet,4,evet,1
36,evet,1,evet,1,evet,1
37,hayir,,hayir,,evet,4
38,evet,3,evet,1,evet,1
39,hayir,,hayir,,evet,5
40,evet,3,evet,1,evet,2
41,hayir,,evet,2,evet,1
42,evet,4,hayir,4,evet,4
43,evet,2,evet,1,evet,1
44,evet,1,evet,1,evet,1
45,hayir,,evet,5,evet,1
46,hayir,,hayir,,evet,3
47,evet,1,evet,1,evet,1
48,evet,5,evet,3,evet,2
49,evet,1,evet,1,evet,1
50,evet,1,evet,2,evet,1
51,hayir,,evet,3,evet,3
52,evet,1,hayir,1,evet,1
53,evet,1,evet,1,evet,1
54,hayir,,evet,3,evet,1
55,evet,5,evet,3,evet,1
56,hayir,,evet,3,evet,2
57,hayir,,evet,1,evet,1
58,evet,1,evet,1,evet,1
59,evet,1,evet,1,evet,1
60,hayir,,evet,1,evet,1
61,hayir,,evet,3,evet,3
62,evet,1,evet,1,evet,1
63,hayir,,hayir,,evet,1
64,evet,1,evet,1,evet,1
65,hayir,,evet,4,evet,2
66,hayir,,evet,1,evet,1
67,evet,1,evet,1,evet,1
68,evet,1,evet,1,evet,1
69,evet,2,evet,1,evet,1
70,evet,1,evet,1,evet,1
71,evet,1,evet,1,evet,1
72,evet,1,evet,1,evet,1
73,evet,1,evet,1,evet,1
74,evet,2,evet,1,evet,1
75,evet,3,evet,1,evet,1
76,evet,4,evet,1,evet,1
77,evet,3,evet,1,evet,1
78,evet,2,evet,2,evet,1
79,evet,5,hayir,5,evet,1
80,evet,5,evet,2,evet,1
81,evet,1,evet,1,evet,1
82,evet,1,evet,1,evet,1
83,evet,1,evet,1,evet,1
84,evet,1,evet,1,evet,1
85,evet,2,evet,1,evet,1
86,hayir,,hayir,,evet,3
87,evet,3,evet,2,evet,1
88,evet,2,evet,1,evet,1
89,evet,1,evet,1,evet,1
